Tip ustanove:;Osnovna škola;;;;;;
Županija:;Osječko-Baranjska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Šećerana;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
4016;VOLIM ZAVIČAJ 2 : udžbenik s radnom bilježnicom;Nives Čagalj, Milica Duvnjak, Marija Petričević;udžbenik s radnom bilježnicom;125,00;ALKA;;2. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5610;RAZIGRANI ZVUCI 2 : udžbenik glazbene kulture s višemedijskim nastavnim materijalima na 2 CD-a u drugom razredu osnovne škole;Vladimir Jandrašek, Jelena Ivaci;udžbenik s 2 CD-a;59,00;ŠK;Novo;2. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4774;RASTIMO U ZAHVALNOSTI : udžbenik za katolički vjeronauk drugoga razreda osnovne škole;Josip Jakšić, Karolina Manda Mićanović;udžbenik;36,00;GK;Novo;2. razred osnovne škole
4775;RASTIMO U ZAHVALNOSTI : radna bilježnica za katolički vjeronauk drugoga razreda osnovne škole;Josip Jakšić, Karolina Manda Mićanović;radna bilježnica;23,00;GK;Novo;2. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3217;ZLATNA VRATA 2 : integrirani udžbenik za nastavu hrvatskog jezika i književnosti u 2. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;69,00;ŠK;;2. razred osnovne škole
3218;ZLATNA VRATA 2 : radna bilježnica za nastavu hrvatskog jezika i književnosti u 2. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;54,00;ŠK;;2. razred osnovne škole
Osnovna škola - redovni program - 3. razred osnovne škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
5567;DIP IN 3 : udžbenik engleskog jezika s višemedijskim nastavnim materijalima u trećem razredu osnovne škole - 3. godina učenja;Maja Mardešić;udžbenik s višemedijskim nastavnim materijalima;61,00;ŠK;Novo;3. razred osnovne škole
5568;DIP IN 3 : radna bilježnica za engleski jezik u trećem razredu osnovne škole - 3. godina učenja;Maja Mardešić;radna bilježnica;52,00;ŠK;Novo;3. razred osnovne škole
MATEMATIKA ;;;;;;;
5687;MOJ SRETNI BROJ 3 : radna bilježnica za matematiku u trećem razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;radna bilježnica;59,00;ŠK;Novo;3. razred osnovne škole
5686;MOJ SRETNI BROJ 3 : udžbenik matematike s višemedijskim nastavnim materijalima u trećem razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;3. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
