Tip ustanove:;Osnovna škola;;;;;;
Županija:;Sisačko-Moslavačka;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Dvor;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Osnovna škola - redovni program - 3. razred osnovne škole ;;;;;;;
NJEMAČKI JEZIK ;;;;;;;
8;APPLAUS! 3 : udžbenik njemačkog jezika sa zvučnim CD-om za 3. razred osnovne škole : III. godina učenja;Danica Ušćumlić;udžbenik s CD-om;59,00;PROFIL;;3. razred osnovne škole
7;APPLAUS! 3 : radna bilježnica njemačkog jezika za 3. razred osnovne škole : III. godina učenja;Danica Ušćumlić;radna bilježnica;46,00;PROFIL;;3. razred osnovne škole
MATEMATIKA ;;;;;;;
5687;MOJ SRETNI BROJ 3 : radna bilježnica za matematiku u trećem razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;radna bilježnica;59,00;ŠK;Novo;3. razred osnovne škole
5686;MOJ SRETNI BROJ 3 : udžbenik matematike s višemedijskim nastavnim materijalima u trećem razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;3. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5752;EUREKA! 3 : radna bilježnica za prirodu i društvo u trećem razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;radna bilježnica;68,00;ŠK;Novo;3. razred osnovne škole
5751;EUREKA! 3 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u trećem razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;udžbenik s višemedijskim nastavnim materijalima;57,00;ŠK;Novo;3. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5611;RAZIGRANI ZVUCI 3 : udžbenik glazbene kulture s višemedijskim nastavnim materijalima na 2 CD-a u trećem razredu osnovne škole;Vladimir Jandrašek, Jelena Ivaci;udžbenik s 2 CD-a;57,00;ŠK;Novo;3. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4859;ZA STOLOM LJUBAVI I POMIRENJA : udžbenik za katolički vjeronauk trećega razreda osnovne škole;Ivica Pažin, Ante Pavlović i drugi;udžbenik;36,00;KS;Novo;3. razred osnovne škole
4860;ZA STOLOM LJUBAVI I POMIRENJA : radna bilježnica za katolički vjeronauk trećega razreda osnovne škole;Ivica Pažin, Ante Pavlović i drugi;radna bilježnica;34,00;KS;Novo;3. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3574;ZLATNA VRATA 3 : radna bilježnica hrvatskog jezika u 3. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;49,00;ŠK;;3. razred osnovne škole
3890;ZLATNA VRATA 3 : udžbenik hrvatskog jezika u 3. razredu osnovne škole : čitanka s pravopisom i gramatikom;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;63,00;ŠK;;3. razred osnovne škole
Osnovna škola - redovni program - 4. razred osnovne škole ;;;;;;;
MATEMATIKA ;;;;;;;
5688;MOJ SRETNI BROJ 4 : udžbenik matematike s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;4. razred osnovne škole
5689;MOJ SRETNI BROJ 4 : radna bilježnica za matematiku u četvrtom razredu osnovne škole;Dubravka Miklec, Sanja Jakovljević Rogić, Graciella Prtajin, Sandra Binder, Nataša Mesaroš Grgurić, Julija Vejić;radna bilježnica;59,00;ŠK;Novo;4. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5753;EUREKA! 4 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u četvrtom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;udžbenik s višemedijskim nastavnim materijalima;57,00;ŠK;Novo;4. razred osnovne škole
5754;EUREKA! 4 : radna bilježnica za prirodu i društvo u četvrtom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;radna bilježnica;68,00;ŠK;Novo;4. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5169;GLAZBENA ČETVRTICA : udžbenik glazbene kulture s tri cd-a za četvrti razred osnovne škole;Jelena Sikirica, Snježana Stojaković, Ana Miljak;udžbenik;72,00;PROFIL;Novo;4. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4861;NA PUTU VJERE : udžbenik za katolički vjeronauk četvrtoga razreda osnovne škole;Ivica Pažin i Ante Pavlović;udžbenik;40,00;KS;Novo;4. razred osnovne škole
4862;NA PUTU VJERE : radna bilježnica za katolički vjeronauk četvrtoga razreda osnovne škole;Ivica Pažin, Ante Pavlović;radna bilježnica;30,00;KS;Novo;4. razred osnovne škole
HRVATSKI JEZIK - KNJIŽEVNOST I JEZIK ;;;;;;;
3891;ZLATNA VRATA 4 : udžbenik hrvatskog jezika u 4. razredu osnovne škole : čitanka s pravopisom i gramatikom;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;63,00;ŠK;;4. razred osnovne škole
3575;ZLATNA VRATA 4 : radna bilježnica hrvatskog jezika u 4. razredu osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;49,00;ŠK;;4. razred osnovne škole
ENGLESKI JEZIK - I. GODINA UČENJA, II. STRANI JEZIK ;;;;;;;
79;HAPPY STARTING POINTS ACTIVITY BOOK : radna bilježnica za početno učenje engleskog jezika u 4. razredu osnovne škole;Stella Maidment, Lorena Roberts;radna bilježnica;59,00;OXFORD;;4. razred osnovne škole
80;HAPPY STARTING POINTS CLASS BOOK : udžbenik za početno učenje engleskog jezika u 4. razredu osnovne škole;Stella Maidment, Lorena Roberts;udžbenik;72,00;OXFORD;;4. razred osnovne škole
NJEMAČKI JEZIK - IV. GODINA UČENJA, I. STRANI JEZIK ;;;;;;;
86;APPLAUS! 4 : udžbenik njemačkog jezika sa zvučnim CD-om za 4. razred osnovne škole : IV. godina učenja;Gordana Barišić Lazar;udžbenik s CD-om;59,00;PROFIL;;4. razred osnovne škole
85;APPLAUS! 4 : radna bilježnica njemačkog jezika za 4. razred osnovne škole : IV. godina učenja;Gordana Barišić Lazar;radna bilježnica;44,00;PROFIL;;4. razred osnovne škole
Osnovna škola - redovni program - 5. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
1902;HRVATSKA KRIJESNICA 5 : radna bilježnica za dopunski i individualizirani rad iz hrvatskog jezika za 5. razred osnovne škole;Vesna Dunatov, Anita Petrić;radna bilježnica;67,00;LJEVAK;;5. razred osnovne škole
MATEMATIKA ;;;;;;;
4599;MATEMATIČKI IZAZOVI 5 : udžbenik i zbirka zadataka iz matematike za peti razred - prvi dio;Gordana Paić, Željko Bošnjak, Boris Čulina;udžbenik sa zbirkom zadataka;59,00;ALFA;Novo;5. razred osnovne škole
4600;MATEMATIČKI IZAZOVI 5 : udžbenik i zbirka zadataka iz matematike za peti razred - drugi dio;Gordana Paić, Željko Bošnjak, Boris Čulina;udžbenik sa zbirkom zadataka;59,00;ALFA;Novo;5. razred osnovne škole
MATEMATIKA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
214;MATEMATIČKI SVIJET : udžbenik s radnom bilježnicom za matematiku za 5. razred;Romana Nakić;udžbenik s radnom bilježnicom;80,00;ALKA;;5. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5170;GLAZBENA PETICA : udžbenik glazbene kulture s tri cd-a za peti razred osnovne škole;Saša Marić, Ljiljana Ščedrov;udžbenik;72,00;PROFIL;Novo;5. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4863;JA SAM PUT : udžbenik za katolički vjeronauk petoga razreda osnovne škole;Ružica Razum i autorski tim;udžbenik;40,00;KS;Novo;5. razred osnovne škole
