Tip ustanove:;Srednja škola;;;;;;
Županija:;Karlovačka;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
SREDNJA ŠKOLA DUGA RESA;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5498;ČITANKA 1 : čitanka u prvom razredu gimnazije;skupina autora;udžbenik;106,00;ŠK;Novo;1. razred srednje škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5502;UČIMO HRVATSKI JEZIK 1 : udžbenik hrvatskog jezika u prvom razredu gimnazije;Marina Čubrić;udžbenik;72,00;ŠK;Novo;1. razred srednje škole
5503;UČIMO HRVATSKI JEZIK 1 : radna bilježnica za hrvatski jezik u prvom razredu gimnazije;Marina Čubrić;radna bilježnica;36,00;ŠK;Novo;1. razred srednje škole
GEOGRAFIJA ;;;;;;;
4894;GEOGRAFIJA 1 : udžbenik iz geografije za I. razred gimnazije;Dragutin Feletar, Dražen Perica, Ružica Vuk;udžbenik;99,00;MERIDIJANI;Novo;1. razred srednje škole
POVIJEST ;;;;;;;
5554;KORACI KROZ VRIJEME 1 : udžbenik povijesti u prvom razredu gimnazije;Karolina Ujaković, Svjetlana Vorel;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
BIOLOGIJA ;;;;;;;
4460;BIOLOGIJA 1 : radna bilježnica iz biologije za prvi razred gimnazije;Irella Bogut, Snježana Đumlija, Ksenija Lukačević, Mihaela Marceljak Ilić;radna bilježnica;60,00;ALFA;Novo;1. razred srednje škole
4459;BIOLOGIJA 1 : udžbenik iz biologije za prvi razred gimnazije;Irella Bogut, Snježana Đumlija, Ksenija Lukačević, Mihaela Marceljak Ilić;udžbenik;100,00;ALFA;Novo;1. razred srednje škole
KEMIJA ;;;;;;;
4484;KEMIJA 1 : zbirka zadataka iz kemije za prvi razred gimnazije;Gordana Pavlović;zbirka zadataka;60,00;ALFA;Novo;1. razred srednje škole
4483;KEMIJA 1 : udžbenik iz kemije za prvi razred gimnazije;Zora Popović, Ljiljana Kovačević;udžbenik;106,00;ALFA;Novo;1. razred srednje škole
ENGLESKI JEZIK - PRVI STRANI JEZIK ;;;;;;;
4986;"NEW HEADWAY FOURTH EDITION INTERMEDIATE WORKBOOK A : radna bilježnica za engleski jezik, 1. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 2. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;radna bilježnica;62,00;OXFORD;Novo;1. razred srednje škole
4985;"NEW HEADWAY FOURTH EDITION INTERMEDIATE STUDENT'S BOOK : udžbenik engleskog jezika za 1. i 2. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 2. i 3. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;udžbenik;101,00;OXFORD;Novo;1. razred srednje škole
4987;"NEW HEADWAY FOURTH EDITION INTERMEDIATE WORKBOOK B : radna bilježnica za engleski jezik, 2. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 3. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;radna bilježnica;62,00;OXFORD;Novo;1. razred srednje škole
NJEMAČKI JEZIK - PRVI STRANI JEZIK ;;;;;;;
2420;AUSBLICK 1, BRÜCKENKURS : udžbenik njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 1. strani jezik;Anni Fischer-Mitziviris, Sylvia Janke-Papanikolaou;udžbenik;94,00;ALGORITAM;;1. razred srednje škole
2419;AUSBLICK 1, BRÜCKENKURS : radna bilježnica njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 1. strani jezik;Anni Fischer-Mitziviris, Sylvia Janke-Papanikolaou;radna bilježnica s CD-om;78,00;ALGORITAM;;1. razred srednje škole
NJEMAČKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
2790;DEUTSCH.COM 1 : udžbenik njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik;Anta Kursiša, Gerhard Neuner, Lina Pilypaityte, Erna Szakaly, Sara Vicente;udžbenik;110,00;ALGORITAM;;1. razred srednje škole
2789;DEUTSCH.COM 1 : radna bilježnica njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik;Carmen Cristache, Birgit Kirchner, Gerhard Neuner, Lina Pilypaityte, Erna Szakaly, Sara Vicente;radna bilježnica s CD-om;91,00;ALGORITAM;;1. razred srednje škole
3864;"DEUTSCH.COM 2 : udžbenik njemačkog jezika za 3. i 4. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 3. i 4. godina učenja; 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 6. i 7. godina učenja";C. Cristache, G. Neuner, L. Pilypatyte, E. Szakaly, S. Vicente;udžbenik;110,00;ALGORITAM;;1. razred srednje škole
3598;"DEUTSCH.COM 2 : radna bilježnica njemačkog jezika za 3. i 4. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 3. i 4. godina učenja; 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 6. i 7. godina učenja";C. Cristache, G. Neuner, L. Pilypatyte, E. Szakaly, S. Vicente;radna bilježnica s CD-om;91,00;ALGORITAM;;1. razred srednje škole
MATEMATIKA - ZA OPĆU, JEZIČNU I KLASIČNU GIMNAZIJU ;;;;;;;
4758;MATEMATIKA 1 - 1. DIO : udžbenik i zbirka zadataka za 1. razred gimnazija i tehničkih škola;Branimir Dakić, Neven Elezović;udžbenik sa zbirkom zadataka;72,50;ELEMENT;Novo;1. razred srednje škole
4759;MATEMATIKA 1 - 2. DIO : udžbenik i zbirka zadataka za 1. razred gimnazija i tehničkih škola;Branimir Dakić, Neven Elezović;udžbenik sa zbirkom zadataka;72,50;ELEMENT;Novo;1. razred srednje škole
FIZIKA - ČETVEROGODIŠNJI GIMNAZIJSKI PROGRAM ;;;;;;;
4467;FIZIKA 1 : udžbenik za 1. razred gimnazije;Jakov Labor;udžbenik;106,00;ALFA;Novo;1. razred srednje škole
4468;FIZIKA 1 : zbirka zadataka za 1. razred gimnazije;Jakov Labor;zbirka zadataka;54,00;ALFA;Novo;1. razred srednje škole
GLAZBENA UMJETNOST - ČETVEROGODIŠNJI PROGRAM ;;;;;;;
2991;GLAZBENI SUSRETI 1. VRSTE : udžbenik glazbene umjetnosti s 3 zvučna CD-a za prvi razred gimnazije;Nataša Perak Lovričević, Ljiljana Ščedrov;udžbenik s 3 zvučna CD-a;105,00;PROFIL;;1. razred srednje škole
LIKOVNA UMJETNOST ;;;;;;;
4491;LIKOVNA UMJETNOST 1 : udžbenik iz likovne umjetnosti za 1. razred srednjih škola s dvogodišnjim i četverogodišnjim programom;Natalija Stipetić-Čus, Zrinka Jurić-Avmedoski, Blanka Petrinec-Fulr, Elen Zubek;udžbenik;105,00;ALFA;Novo;1. razred srednje škole
ETIKA ;;;;;;;
1154;ETIKA 1 : udžbenik za 1. razred gimnazije i srednje škole;Ćiril Čoh, Marija Lamot, Ksenija Matuš;udžbenik;89,00;ŠK;;1. razred srednje škole
LATINSKI JEZIK ;;;;;;;
1006;LINGUAE LATINAE ELEMENTA : udžbenik latinskoga jezika za gimnazije : 1. i 2. godina učenja;Jadranka Bagarić;udžbenik;104,00;ŠK;;1. razred srednje škole
1005;LINGUAE LATINAE ELEMENTA : radna bilježnica uz udžbenik latinskoga jezika : 1. i 2. godina učenja;Jadranka Bagarić;radna bilježnica;52,00;ŠK;;1. razred srednje škole
INFORMATIKA ;;;;;;;
5511;INFORMATIKA 1 : udžbenik informatike u prvom razredu prirodoslovno-matematičke i opće gimnazije te drugom razredu klasične i jezične gimnazije;Predrag Brođanac, Leo Budin, Zlatka Markučić, Smiljana Perić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
Puškar - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4979;"NEW HEADWAY FOURTH EDITION ELEMENTARY STUDENT'S BOOK : udžbenik engleskog jezika za 1. razred trogodišnjih strukovnih škola, prvi strani jezik; 1. razred 4-godišnjih strukovnih škola i gimnazija, drugi strani jezik";Liz Soars, John Soars;udžbenik;101,00;OXFORD;Novo;1. razred srednje škole
4980;"NEW HEADWAY FOURTH EDITION ELEMENTARY WORKBOOK : radna bilježnica za engleski jezik, 1. razred trogodišnjih strukovnih škola, prvi strani jezik; 1. razred 4-godišnjih strukovnih škola i gimnazija, drugi strani jezik";Liz Soars, John Soars;radna bilježnica;62,00;OXFORD;Novo;1. razred srednje škole
NJEMAČKI JEZIK ;;;;;;;
3856;"DEUTSCH.COM 2 : udžbenik njemačkog jezika za 3. i 4. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 3. i 4. godina učenja; 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 6. i 7. godina učenja";C. Cristache, G. Neuner, L. Pilypatyte, E. Szakaly, S. Vicente;udžbenik;110,00;ALGORITAM;;1. razred srednje škole
3599;"DEUTSCH.COM 2 : radna bilježnica njemačkog jezika za 3. i 4. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 3. i 4. godina učenja; 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik, 6. i 7. godina učenja";C. Cristache, G. Neuner, L. Pilypatyte, E. Szakaly, S. Vicente;radna bilježnica s CD-om;91,00;ALGORITAM;;1. razred srednje škole
ETIKA ;;;;;;;
1700;ETIKA 1 : udžbenik za 1. razred gimnazije i srednje škole;Ćiril Čoh, Marija Lamot, Ksenija Matuš;udžbenik;89,00;ŠK;;1. razred srednje škole
VJERONAUK ;;;;;;;
1708;TRAŽITELJI SMISLA : udžbenik vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
HRVATSKI JEZIK - ZA TROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST I JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5347;HRVATSKI JEZIK I KNJIŽEVNOST 1 : radna bilježnica za hrvatski jezik i književnost u prvom razredu trogodišnje srednje strukovne škole;Andreja Jureković Perković, Marija Matković;radna bilježnica;49,00;ŠK;Novo;1. razred srednje škole
5346;HRVATSKI JEZIK I KNJIŽEVNOST 1 : integrirani udžbenik hrvatskog jezika i književnosti u prvom razredu trogodišnje srednje strukovne škole;Andreja Jureković Perković, Marija Matković;udžbenik;119,00;ŠK;Novo;1. razred srednje škole
MATEMATIKA - ZA DVOGODIŠNJE I TROGODIŠNJE PROGRAME ;;;;;;;
1568;MATEMATIKA 1 : udžbenik i zbirka zadataka za 1. razred trogodišnjih strukovnih škola;Sanja Varošanec;udžbenik i zbirka zadataka;111,00;ELEMENT;;1. razred srednje škole
POVIJEST - ZA TROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1687;HRVATSKA POVIJEST : od doseljenja Hrvata do naših dana : udžbenik povijesti za 1. razred trogodišnjih srednjih strukovnih škola;Vesna Đurić, Ivan Peklić;udžbenik;89,00;PROFIL;;1. razred srednje škole
TEHNIČKE ŠKOLE - PODRUČJE STROJARSTVA ;;;;;;;
1254;TEHNOLOGIJA OBRADE I MONTAŽE : udžbenik za 1. razred trogodišnjih strukovnih škola;Zvonimir Vlaić;udžbenik;73,50;KAIROS;;1. razred srednje škole
1253;TEHNOLOGIJA OBRADE I MONTAŽE : radna bilježnica za 1. razred trogodišnjih strukovnih škola;Anto Delač, Zvonimir Vlaić;radna bilježnica;41,50;KAIROS;;1. razred srednje škole
TROGODIŠNJE STROJARSKE STRUKOVNE ŠKOLE - JMO ;;;;;;;
3518;OSNOVE TEHNIČKIH MATERIJALA : radna bilježnica za prvi razred trogodišnjih strukovnih škola;Antun Babić, Jozo Jurkić, Josip Lolić;radna bilježnica;67,00;ŠK;;1. razred srednje škole
1268;TEHNIČKO CRTANJE : udžbenik s multimedijskim sadržajem za trogodišnje strukovne škole (JMO);Jerko Pandžić;udžbenik s multimedijskim sadržajem;139,65;NEODIDACTA;;1. razred srednje škole
3802;OSNOVE TEHNIČKE MEHANIKE : udžbenik za 1. i 2. razred trogodišnjih strukovnih škola;Zvonimir Vlaić;udžbenik;73,50;KAIROS;;1. razred srednje škole
1267;TEHNIČKO CRTANJE : radna bilježnica za trogodišnje strukovne škole (JMO);Jerko Pandžić;radna bilježnica;73,50;NEODIDACTA;;1. razred srednje škole
1266;OSNOVE TEHNIČKIH MATERIJALA : udžbenik za 1. razred trogodišnjih strukovnih škola (JMO);Antun Babić;udžbenik;72,00;ŠK;;1. razred srednje škole
3509;OSNOVE TEHNIČKE MEHANIKE : radna bilježnica za 1. i 2. razred trogodišnjih strukovnih škola;Zvonimir Vlaić;radna bilježnica;52,50;KAIROS;;1. razred srednje škole
Grafički dizajner - 2. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4988;"NEW HEADWAY FOURTH EDITION INTERMEDIATE STUDENT'S BOOK : udžbenik engleskog jezika za 1. i 2. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 2. i 3. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;udžbenik;101,00;OXFORD;Novo;2. razred srednje škole
4990;"NEW HEADWAY FOURTH EDITION INTERMEDIATE WORKBOOK B : radna bilježnica za engleski jezik, 2. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 3. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;radna bilježnica;62,00;OXFORD;Novo;2. razred srednje škole
4989;"NEW HEADWAY FOURTH EDITION INTERMEDIATE WORKBOOK A : radna bilježnica za engleski jezik, 1. razred gimnazija i 4-god. strukovnih škola, prvi strani jezik; 2. razred 4-god. strukovnih škola, prvi strani jezik; 4. razred gimnazija i 4-god. strukovnih škola, drugi strani jezik";John Soars, Liz Soars;radna bilježnica;62,00;OXFORD;Novo;2. razred srednje škole
GEOGRAFIJA ;;;;;;;
4903;GEOGRAFIJA 2 : udžbenik iz geografije za II. razred srednjih strukovnih škola;Emil Čokonaj, Dragutin Feletar;udžbenik;97,00;MERIDIJANI;Novo;2. razred srednje škole
GLAZBENA UMJETNOST - DVOGODIŠNJI PROGRAM ;;;;;;;
3368;GLAZBENI KONTAKTI 2 : udžbenik glazbene umjetnosti sa 4 zvučna CD-a za drugi razred srednjih škola s dvogodišnjim programom;Nataša Perak Lovričević, Ljiljana Ščedrov;udžbenik sa 4 zvučna CD-a;110,00;PROFIL;;2. razred srednje škole
LIKOVNA UMJETNOST ;;;;;;;
4493;LIKOVNA UMJETNOST 2 : udžbenik iz likovne umjetnosti za 2. razred srednjih škola s četverogodišnjim programom;Natalija Stipetić-Čus, Zrinka Jurić-Avmedoski, Blanka Petrinec Fulir, Elen Zubek;udžbenik;105,00;ALFA;Novo;2. razred srednje škole
ETIKA ;;;;;;;
3649;JA, MI, ONI… : udžbenik etike za drugi razred gimnazije i strukovne škole;Bruno Ćurko, Dunja Marušić Brezetić;udžbenik;95,00;PROFIL;;2. razred srednje škole
VJERONAUK ;;;;;;;
1709;ODVAŽNI SVJEDOCI : udžbenik vjeronauka za 2. razred srednje škole;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Dušan Vuletić;udžbenik;53,00;SALESIANA;;2. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
